elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z;head_quat_xyzw;Eye_Right_Blink;Eye_Left_Blink
17.2880;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9447;-0.7399;0.841468;0.8180187;-0.4227;1.6246;-1.2877;7.9681;270.2970;359.7312;(.0509, -.7035, .0473, .7073);0.0000;0.0000
17.3100;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9550;-0.7303;0.8472281;0.824188;-0.4227;1.6245;-1.2877;7.9974;270.3201;359.7646;(.0509, -.7033, .0477, .7075);0.0000;0.0000
17.3320;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9440;-0.7333;0.8454508;0.8175951;-0.4227;1.6244;-1.2876;8.0203;270.3070;359.8024;(.0508, -.7034, .0481, .7073);0.0000;0.0000
17.3540;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9459;-0.7318;0.8463165;0.8187588;-0.4227;1.6245;-1.2877;8.0165;270.2992;359.7480;(.0511, -.7034, .0477, .7073);0.0000;0.0000
17.3770;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9472;-0.7284;0.8483691;0.819525;-0.4227;1.6245;-1.2878;8.0226;270.3196;359.6930;(.0515, -.7033, .0474, .7075);0.0000;0.0000
17.3990;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9386;-0.7359;0.8438737;0.8143963;-0.4226;1.6245;-1.2878;8.0319;270.2896;359.7001;(.0515, -.7035, .0475, .7073);0.0000;0.0000
17.4220;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9340;-0.7366;0.8434784;0.8116391;-0.4226;1.6245;-1.2879;8.0501;270.2830;359.7348;(.0514, -.7035, .0479, .7072);0.0000;0.0000
17.4440;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9348;-0.7394;0.8418036;0.8120666;-0.4225;1.6244;-1.2880;8.0586;270.2642;359.7484;(.0513, -.7036, .0480, .7071);0.0000;0.0000
17.4660;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9353;-0.7392;0.8419267;0.8124186;-0.4223;1.6244;-1.2882;8.0398;270.2574;359.7690;(.0511, -.7037, .0480, .7070);0.0000;0.0000
17.4880;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9355;-0.7386;0.8422315;0.8125042;-0.4222;1.6245;-1.2882;8.0476;270.2477;359.8150;(.0509, -.7038, .0484, .7070);0.0000;0.0000
17.5100;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9359;-0.7297;0.8475702;0.8127391;-0.4221;1.6245;-1.2884;8.0609;270.2479;359.8303;(.0508, -.7038, .0485, .7070);0.0000;0.0000
17.5320;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9338;-0.7323;0.8460636;0.8114967;-0.4221;1.6246;-1.2884;8.0605;270.2189;359.8333;(.0508, -.7039, .0486, .7068);0.0000;0.0000
17.5540;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9305;-0.7356;0.8440333;0.809493;-0.4221;1.6247;-1.2884;8.0112;270.1825;359.8450;(.0504, -.7042, .0484, .7066);0.0000;0.0000
17.5770;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9281;-0.7364;0.8435615;0.8080602;-0.4221;1.6247;-1.2886;7.9836;270.1529;359.8250;(.0504, -.7044, .0481, .7064);0.0000;0.0000
17.5990;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9260;-0.7359;0.8438652;0.8068013;-0.4221;1.6247;-1.2886;7.9725;270.1120;359.7702;(.0506, -.7046, .0477, .7062);0.0000;0.0000
17.6220;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9245;-0.7379;0.8426554;0.8059222;-0.4220;1.6247;-1.2887;7.9327;270.0935;359.8226;(.0500, -.7048, .0478, .7061);0.0000;0.0000
17.6440;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9278;-0.7360;0.8437908;0.807883;-0.4220;1.6247;-1.2888;7.9214;270.0881;359.8830;(.0496, -.7048, .0481, .7060);0.0000;0.0000
17.6660;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9250;-0.7368;0.8433532;0.8062088;-0.4220;1.6247;-1.2889;7.9745;270.0826;359.8896;(.0499, -.7048, .0485, .7060);0.0000;0.0000
