elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z
3.7930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3525;-1.3407;0.481261;0.4629944;-0.4112;1.6285;-1.2986;6.1568;269.0557;0.8224
3.8150;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3538;-1.3410;0.4811066;0.4637798;-0.4112;1.6285;-1.2987;6.1283;269.0524;0.8473
3.8390;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3549;-1.3410;0.4810627;0.4643959;-0.4111;1.6285;-1.2988;6.1062;269.0531;0.7942
3.8590;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3587;-1.3410;0.4811036;0.4666907;-0.4110;1.6287;-1.2989;6.0253;269.0565;0.7567
3.8840;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3612;-1.3420;0.4804719;0.4681912;-0.4109;1.6288;-1.2988;5.9721;269.0321;0.7866
3.9040;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3634;-1.3422;0.4803608;0.4695381;-0.4107;1.6289;-1.2987;5.9222;269.0264;0.8209
3.9260;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3643;-1.3404;0.4814453;0.4700387;-0.4106;1.6289;-1.2987;5.9053;269.0668;0.8436
3.9480;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3664;-1.3399;0.4817427;0.4713148;-0.4105;1.6290;-1.2987;5.8600;269.0765;0.8481
3.9710;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3657;-1.3388;0.482414;0.4708764;-0.4104;1.6291;-1.2986;5.8767;269.1002;0.8337
3.9930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3646;-1.3388;0.4824248;0.4702395;-0.4103;1.6291;-1.2986;5.8997;269.0997;0.8162
